city,month,aqilist
北京,201808,"[12, 17, 0, 0, 0, 1]"
北京,201901,"[6, 15, 0, 0, 0, 10]"
北京,201902,"[6, 11, 0, 0, 0, 11]"
北京,201906,"[1, 2, 0, 0, 0, 0]"
上海,201808,"[26, 4, 0, 0, 0, 0]"
上海,201901,"[10, 10, 0, 0, 0, 11]"
上海,201902,"[12, 12, 0, 0, 0, 4]"
上海,201906,"[1, 2, 0, 0, 0, 0]"
天津,201808,"[8, 22, 0, 0, 0, 0]"
天津,201901,"[5, 15, 0, 0, 0, 11]"
天津,201902,"[6, 11, 0, 0, 0, 11]"
天津,201906,"[0, 3, 0, 0, 0, 0]"
青岛,201808,"[26, 4, 0, 0, 0, 0]"
青岛,201901,"[0, 17, 0, 0, 0, 14]"
青岛,201902,"[5, 7, 0, 0, 0, 16]"
青岛,201906,"[2, 1, 0, 0, 0, 0]"
北京,201808,"[12, 17, 0, 0, 0, 1]"
北京,201901,"[6, 15, 0, 0, 0, 10]"
北京,201902,"[6, 11, 0, 0, 0, 11]"
北京,201906,"[1, 2, 0, 0, 0, 0]"
上海,201808,"[26, 4, 0, 0, 0, 0]"
上海,201901,"[10, 10, 0, 0, 0, 11]"
上海,201902,"[12, 12, 0, 0, 0, 4]"
上海,201906,"[1, 2, 0, 0, 0, 0]"
天津,201808,"[8, 22, 0, 0, 0, 0]"
天津,201901,"[5, 15, 0, 0, 0, 11]"
天津,201902,"[6, 11, 0, 0, 0, 11]"
天津,201906,"[0, 3, 0, 0, 0, 0]"
青岛,201808,"[26, 4, 0, 0, 0, 0]"
青岛,201901,"[0, 17, 0, 0, 0, 14]"
青岛,201902,"[5, 7, 0, 0, 0, 16]"
青岛,201906,"[2, 1, 0, 0, 0, 0]"
济南,201808,"[7, 23, 0, 0, 0, 0]"
济南,201901,"[0, 9, 0, 0, 0, 22]"
济南,201902,"[0, 9, 0, 0, 0, 19]"
济南,201906,"[0, 3, 0, 0, 0, 0]"
厦门,201808,"[25, 5, 0, 0, 0, 0]"
厦门,201901,"[14, 17, 0, 0, 0, 0]"
厦门,201902,"[19, 8, 0, 0, 0, 1]"
厦门,201906,"[3, 0, 0, 0, 0, 0]"
郑州,201808,"[3, 27, 0, 0, 0, 0]"
郑州,201901,"[0, 8, 0, 0, 0, 23]"
郑州,201902,"[0, 6, 0, 0, 0, 22]"
郑州,201906,"[0, 3, 0, 0, 0, 0]"
乌鲁木齐,201808,"[5, 22, 0, 0, 0, 3]"
乌鲁木齐,201901,"[0, 5, 0, 0, 0, 26]"
乌鲁木齐,201902,"[0, 8, 0, 0, 0, 20]"
乌鲁木齐,201906,"[3, 0, 0, 0, 0, 0]"
成都,201808,"[12, 18, 0, 0, 0, 0]"
成都,201901,"[0, 16, 0, 0, 0, 15]"
成都,201902,"[2, 22, 0, 0, 0, 4]"
成都,201906,"[2, 1, 0, 0, 0, 0]"
呼和浩特,201808,"[16, 14, 0, 0, 0, 0]"
呼和浩特,201901,"[8, 13, 0, 0, 0, 10]"
呼和浩特,201902,"[10, 10, 0, 0, 0, 8]"
呼和浩特,201906,"[3, 0, 0, 0, 0, 0]"
海口,201808,"[30, 0, 0, 0, 0, 0]"
海口,201901,"[24, 7, 0, 0, 0, 0]"
海口,201902,"[28, 0, 0, 0, 0, 0]"
海口,201906,"[3, 0, 0, 0, 0, 0]"
昆明,201808,"[18, 12, 0, 0, 0, 0]"
昆明,201901,"[28, 3, 0, 0, 0, 0]"
昆明,201902,"[20, 8, 0, 0, 0, 0]"
昆明,201906,"[3, 0, 0, 0, 0, 0]"
